Year,Sales,DeathRateMale,DateRateFemale
1875,0.100000001490116,0.01,0.01
1880,0.100000001490116,0.01,0.01
1885,0.100000001490116,0.01,0.01
1890,0.100000001490116,0.01,0.01
1895,0.100000001490116,0.01,0.01
1900,0.150000002235174,0.01,0.01
1901,0.150000002235174,0.01,0.01
1902,0.150000002235174,0.01,0.01
1903,0.150000002235174,0.01,0.01
1904,0.200000002980232,0.01,0.01
1905,0.425000008195639,0.01,0.01
1906,0.425000008195639,0.01,0.01
1907,0.500000018626452,0.01,0.01
1908,0.549999993294477,0.01,0.01
1909,0.519999998807907,0.01,0.01
1910,0.580000001192093,0.01,0.01
1911,0.86666668454806,0.01,0.01
1912,0.966666678587596,0.01,0.01
1913,0.739999994635582,0.01,0.01
1914,1,0.01,0.01
1915,1.13333334525426,0.01,0.01
1916,1.54999995231628,0.01,0.01
1917,1.80000001192093,0.01,0.01
1918,2,0.01,0.01
1919,1.86666661500931,0.01,0.01
1920,1.53125000651926,0.01,0.01
1921,1.87777778506279,0.01,0.01
1922,1.8450000077486,0.01,0.01
1923,1.86250001192093,0.01,0.01
1924,1.97391302689262,0.01,0.01
1925,2.09999999533529,0.01,0.01
1926,2.08260868943256,0.01,0.01
1927,2.1499999910593,0.01,0.01
1928,2.24583331495523,0.01,0.01
1929,2.3083333397905,0.01,0.01
1930,2.4125000188748,0.01,0.01
1931,2.18750001986822,0.01,0.01
1932,2.10000001008694,0.01,0.01
1933,2.11923077473274,0.01,0.01
1934,2.08928572599377,0.01,0.01
1935,2.30799998283386,0.01,0.01
1936,2.59000001549721,0.01,0.01
1937,2.61363634196195,0.01,0.01
1938,2.85499998927116,0.01,0.01
1939,2.9526315802022,0.01,0.01
1940,2.9523809268361,0.01,0.01
1941,2.90499998927116,0.01,0.01
1942,2.89500001370907,0.01,0.01
1943,2.80500001609325,0.01,0.01
1944,2.63499999493361,0.01,0.01
1945,2.84000002145767,0.01,0.01
1946,3.22857140359424,0.01,0.01
1947,3.50476188886733,0.01,0.01
1948,3.63181817531586,0.01,0.01
1949,3.77727272835645,0.01,0.01
1950,4.49130435611891,17.6677777777778,3.47333333333333
1951,4.43913046173427,15.4482352941176,3.46470588235294
1952,4.61739128568898,18.0055555555556,3.86833333333333
1953,4.67199997901916,19.0657894736842,3.60368421052632
1954,4.71739130434783,20.4875,4.0945
1955,5.12083334724108,19.8856666666667,3.72166666666667
1956,5.078260862309,21.32,3.95133333333333
1957,5.53750001390775,22.4023333333333,4.39833333333333
1958,5.46521739337755,22.7006666666667,4.22566666666667
1959,5.56956518214682,24.9229032258065,4.56161290322581
1960,5.8566666841507,24.6173529411765,4.94941176470588
1961,6.05999998251597,23.8626315789474,4.57605263157895
1962,6.08666667938232,24.8191891891892,4.73702702702703
1963,6.22999999523163,24.8595238095238,5.40166666666667
1964,6.07999998728434,26.7111363636364,5.59386363636364
1965,6.40666666030884,26.7395555555556,5.28466666666667
1966,6.51666662693024,26.6083333333333,5.48479166666667
1967,6.52999993165334,29.2358333333333,5.47541666666667
1968,6.68666664759318,30.5320408163265,5.57510204081633
1969,6.81666663487752,31.2963265306122,5.8834693877551
1970,6.93000001907349,31.7443137254902,5.56901960784314
1971,7.05666659673055,31.4721568627451,6.75725490196078
1972,7.34000004132589,31.4090384615385,6.43076923076923
1973,7.3899999777476,33.5733333333333,6.77541666666667
1974,7.67333331108093,31.8469230769231,6.45019230769231
1975,7.46250002086163,32.9732727272727,6.85036363636364
1976,7.5533332824707,35.2576923076923,6.87153846153846
1977,7.63333333333333,33.1522413793103,6.96137931034483
1978,7.54000000953674,36.3907547169811,7.15584905660377
1979,7.58666659990946,35.7954716981132,7.47924528301887
1980,7.45937496423721,37.1308620689655,7.90896551724138
1981,7.38125002384186,38.999,7.78942857142857
1982,7.37812495231628,40.5519402985075,8.23910447761194
1983,7.37812498211861,40.2205454545455,8.52418181818182
1984,7.34687501192093,39.7918965517241,8.77396551724138
1985,7.26875005662441,40.8461538461538,8.48346153846154
1986,7.2093750089407,41.7209090909091,8.45480519480519
1987,7.03749999403954,41.4213580246914,8.73765432098766
1988,6.60000004879264,43.3629333333333,9.38066666666667
1989,6.46279069989227,42.686,9.17386666666667
1990,6.35749999284744,42.1923376623377,8.98285714285714
1991,6.29268290356892,41.2690789473684,9.05973684210526
1992,5.96097560626704,41.5328571428571,9.56727272727273
1993,5.81162789533305,42.1407894736842,9.61986842105263
1994,5.9162790442622,40.643670886076,9.58759493670886
1995,5.85581397455792,39.653950617284,9.22086419753086
1996,5.79767441195111,38.2254761904762,9.33202380952381
1997,5.79069764669551,37.2753012048193,9.74951807228916
1998,5.79999996895014,36.858488372093,9.60418604651163
1999,6.05641023929303,36.4094318181818,9.58511363636364
2000,5.94594595883344,34.4805263157895,9.67957894736842
2001,5.92777775393592,33.2013131313131,9.22262626262626
2002,5.79722222354677,32.9870707070707,9.51616161616162
2003,5.71111112833023,33.3976767676768,9.54393939393939
2004,5.52499993642171,31.770206185567,9.80123711340206
2005,5.16666661898295,31.5033333333333,9.834375
2006,5.21250004321337,32.0536458333333,10.0582291666667
2007,5.25625002384186,31.5389795918367,10.0370408163265
2008,5.22499998658895,31.230618556701,10.1323711340206
2009,4.89687498658895,30.5207920792079,9.85584158415842
2010,4.63448275368789,29.9083838383838,10.0278787878788
2011,4.38695651551952,29.1861224489796,10.0963265306122
2012,4.15500001907349,28.7865979381443,10.3672164948454
2013,4.01333333651225,27.9986458333333,10.1766666666667
2014,3.88461538461538,28.310206185567,10.1745360824742
2015,3.66666658719381,27.7930769230769,10.6107692307692
