Year,Cigarettes/Adult/Day
1900,0.1
1901,0.1
1902,0.1
1903,0.1
1904,0.2
1905,0.2
1906,0.2
1907,0.2
1908,0.2
1909,0.3
1910,0.4
1911,0.4
1912,0.5
1913,0.6
1914,0.6
1915,0.7
1916,1.0
1917,1.4
1918,1.7
1919,1.8
1920,1.7
1921,1.9
1922,1.9
1923,2.3
1924,2.5
1925,2.7
1926,3.0
1927,3.8
1928,4.0
1929,4.3
1930,4.3
1931,4.3
1932,4.4
1933,4.8
1934,5.3
1935,5.7
1936,6.0
1937,6.0
1938,6.0
1939,6.2
1940,6.5
1941,6.8
1942,7.4
1943,7.8
1944,7.0
1945,8.1
1946,8.9
1947,9.1
1948,9.3
1949,9.3
1950,9.3
1951,9.7
1952,10.0
1953,9.7
1954,9.1
1955,9.3
1956,9.4
1957,9.7
1958,10.2
1959,10.5
1960,10.7
1961,11.0
1962,10.9
1963,11.0
1964,10.6
1965,10.7
1966,10.7
1967,10.7
1968,10.4
1969,10.0
1970,10.3
1971,10.0
1972,10.1
1973,10.7
1974,10.6
1975,10.4
1976,10.4
1977,10.2
1978,10.0
1979,9.9
1980,9.9
1981,9.9
1982,9.7
1983,9.1
1984,9.0
1985,8.8
1986,8.5
1987,8.3
1988,8.0
1989,7.7
1990,7.4
1991,7.1
1992,6.9
1993,6.7
1994,6.6
1995,6.5
1996,6.5
1997,6.3
1998,6.1
1999,5.6
2000,5.4
2001,5.3
2002,5.1
2003,4.9
2004,4.6
2005,4.5
2006,4.5
2007,4.2
2008,4.1
2009,3.7
2010,3.6
2011,3.6
2012,3.5
2013,3.4
2014,3.2