Year,crude_death_rate_per_100k_male,,,
1950,19.94,,,
1951,21.39,,,
1952,23.2,,,
1953,25.31,,,
1954,26.33,,,
1955,28.01,,,
1956,30.07,,,
1957,31.3,,,
1958,32.23,,,
1959,33.73,,,
1960,35.39,,,
1961,36.86,,,
1962,38.63,,,
1963,39.89,,,
1964,41.4,,,
1965,42.98,,,
1966,45.01,,,
1967,46.93,,,
1968,50.05,,,
1969,51.26,,,
1970,53,,,
1971,54.69,,,
1972,56.83,,,
1973,57.9,,,
1974,59.84,,,
1975,60.46,,,
1976,62.26,,,
1977,64.07,,,
1978,65.77,,,
1979,66.71,,,
1980,68.42,,,
1981,68.88,,,
1982,70.43,,,
1983,70.66,,,
1984,71.71,,,
1985,72.19,,,
1986,72.47,,,
1987,73.62,,,
1988,73.54,,,
1989,73.61,,,
1990,75.13,,,
1991,74.56,,,
1992,73.43,,,
1993,73.58,,,
1994,72.31,,,
1995,71.59,,,
1996,70.58,,,
1997,69.72,,,
1998,69.25,,,
1999,67.12,,,
2000,65.53,,,
2001,64.68,,,
2002,63.65,,,
2003,62.9,,,
2004,62.01,,,
2005,61.77,,,
2006,60.52,,,
2007,59.46,,,
2008,59.12,,,
2009,58.02,,,
2010,57.5,,,
2011,56.37,,,
2012,55.89,,,
2013,54.8,,,
2014,53.88,,,